Date,Open,High,Low,Close,Adj Close,Volume
2016-12-07,7.550000,9.200000,7.090000,9.000000,9.000000,1180200
2016-12-08,9.590000,9.600000,8.400000,8.600000,8.600000,215200
2016-12-09,8.750000,8.930000,8.450000,8.870000,8.870000,127700
2016-12-12,8.930000,8.930000,8.030000,8.220000,8.220000,112900
2016-12-13,8.170000,8.330000,7.820000,7.930000,7.930000,81500
2016-12-14,8.100000,8.850000,8.000000,8.720000,8.720000,153000
2016-12-15,8.870000,9.040000,8.500000,9.020000,9.020000,111400
2016-12-16,9.090000,9.210000,8.800000,9.150000,9.150000,88600
2016-12-19,9.070000,9.450000,8.870000,9.350000,9.350000,30000
2016-12-20,9.350000,10.240000,9.000000,10.030000,10.030000,177800
2016-12-21,10.020000,10.690000,10.020000,10.300000,10.300000,155300
2016-12-22,10.150000,10.450000,9.800000,10.110000,10.110000,89100
2016-12-23,10.200000,10.200000,9.870000,10.040000,10.040000,55400
2016-12-27,10.090000,10.090000,9.550000,9.730000,9.730000,69900
2016-12-28,9.500000,9.880000,8.130000,8.730000,8.730000,168500
2016-12-29,8.880000,9.040000,8.500000,8.940000,8.940000,47600
2016-12-30,9.000000,9.100000,8.760000,8.950000,8.950000,35500
2017-01-03,9.100000,9.100000,8.500000,8.600000,8.600000,33400
2017-01-04,8.500000,8.600000,8.110000,8.370000,8.370000,45500
2017-01-05,8.490000,8.600000,8.280000,8.360000,8.360000,83400
2017-01-06,8.400000,8.450000,8.350000,8.400000,8.400000,66400
2017-01-09,8.600000,8.660000,8.110000,8.330000,8.330000,41700
2017-01-10,8.400000,8.420000,7.800000,8.290000,8.290000,79800
2017-01-11,8.270000,8.300000,8.150000,8.190000,8.190000,16900
2017-01-12,8.270000,8.280000,7.630000,7.960000,7.960000,64600
2017-01-13,7.630000,8.230000,7.630000,8.180000,8.180000,16200
2017-01-17,8.200000,8.200000,7.770000,7.960000,7.960000,13000
2017-01-18,7.960000,8.080000,7.660000,7.710000,7.710000,55200
2017-01-19,7.690000,8.220000,7.630000,8.120000,8.120000,34800
2017-01-20,8.250000,8.260000,8.070000,8.180000,8.180000,48900
2017-01-23,8.180000,8.180000,8.000000,8.180000,8.180000,15300
2017-01-24,8.180000,8.190000,8.070000,8.170000,8.170000,21900
2017-01-25,8.110000,8.250000,8.110000,8.170000,8.170000,27400
2017-01-26,8.250000,8.500000,8.250000,8.350000,8.350000,37000
2017-01-27,8.260000,8.370000,8.010000,8.120000,8.120000,24400
2017-01-30,8.200000,8.350000,8.010000,8.220000,8.220000,52100
2017-01-31,8.260000,8.370000,8.200000,8.300000,8.300000,24500
2017-02-01,8.300000,8.300000,8.010000,8.130000,8.130000,60400
2017-02-02,8.100000,8.100000,7.800000,7.820000,7.820000,59600
2017-02-03,7.800000,8.000000,7.800000,7.890000,7.890000,6200
2017-02-06,8.000000,8.000000,7.830000,7.950000,7.950000,32000
2017-02-07,7.950000,8.000000,7.810000,7.950000,7.950000,30600
2017-02-08,7.840000,7.950000,7.830000,7.900000,7.900000,23700
2017-02-09,7.920000,8.430000,7.920000,8.250000,8.250000,114800
2017-02-10,8.250000,8.800000,8.150000,8.420000,8.420000,247400
2017-02-13,8.600000,9.170000,8.560000,8.950000,8.950000,67300
2017-02-14,9.380000,9.400000,8.600000,8.760000,8.760000,102400
2017-02-15,8.830000,8.950000,8.490000,8.920000,8.920000,39100
2017-02-16,8.950000,9.160000,8.810000,9.150000,9.150000,80300
2017-02-17,9.050000,9.150000,8.860000,8.910000,8.910000,37100
2017-02-21,8.950000,9.050000,8.760000,8.910000,8.910000,32000
2017-02-22,8.910000,9.120000,8.620000,8.820000,8.820000,31500
2017-02-23,9.040000,9.050000,8.760000,9.010000,9.010000,63600
2017-02-24,9.050000,9.130000,8.750000,9.070000,9.070000,66000
2017-02-27,9.050000,9.100000,8.770000,9.030000,9.030000,29000
2017-02-28,9.000000,9.020000,8.700000,8.720000,8.720000,12900
