Date,Open,High,Low,Close,Adj Close,Volume
2000-09-18,3721.000000,3874.000000,3602.000000,3776.000000,3776.000000,348500
2000-09-25,3776.500000,3830.000000,3580.500000,3621.000000,3621.000000,310630
2000-10-02,3621.000000,3668.000000,3305.000000,3357.500000,3357.500000,358503
2000-10-09,3359.500000,3402.000000,3021.500000,3270.500000,3270.500000,368860
2000-10-16,3274.000000,3555.500000,3025.000000,3499.500000,3499.500000,349139
2000-10-23,3498.500000,3563.500000,2978.500000,3222.500000,3222.500000,367602
2000-10-30,3220.000000,3387.000000,3062.000000,3353.000000,3353.000000,322591
2000-11-06,3353.000000,3400.000000,2892.000000,2893.000000,2893.000000,327665
2000-11-13,2858.000000,3116.500000,2755.000000,2939.500000,2939.500000,433056
2000-11-20,2929.000000,2946.000000,2676.000000,2829.000000,2829.000000,217496
2000-11-27,2848.000000,2929.000000,2435.000000,2572.500000,2572.500000,444016
2000-12-04,2572.500000,2924.000000,2480.000000,2740.500000,2740.500000,305323
2000-12-11,2855.000000,2995.000000,2556.000000,2583.280029,2583.280029,90095
2000-12-18,2619.500000,2692.000000,2211.000000,2469.000000,2469.000000,397436
2000-12-25,2481.500000,2543.500000,2358.500000,2374.500000,2374.500000,211875
2001-01-01,2375.000000,2590.000000,2130.500000,2293.500000,2293.500000,391261
2001-01-08,2290.000000,2617.000000,2171.000000,2540.000000,2540.000000,481747
2001-01-15,2532.000000,2769.000000,2445.000000,2686.500000,2686.500000,325096
2001-01-22,2689.500000,2797.000000,2548.500000,2645.500000,2645.500000,465426
2001-01-29,2630.000000,2740.000000,2478.000000,2488.500000,2488.500000,384741
2001-02-05,2494.000000,2547.500000,2271.000000,2277.000000,2277.000000,436386
2001-02-12,2276.500000,2437.000000,2181.000000,2227.500000,2227.500000,515809
2001-02-19,2230.000000,2275.000000,1941.000000,2056.500000,2056.500000,483960
2001-02-26,2078.000000,2113.000000,1839.500000,1876.500000,1876.500000,593896
2001-03-05,1883.500000,2036.500000,1804.500000,1811.000000,1811.000000,337180
2001-03-12,1817.500000,1825.000000,1669.500000,1663.949951,1663.949951,131262
2001-03-19,1680.000000,1784.000000,1602.000000,1734.000000,1734.000000,640335
2001-03-26,1738.500000,1777.000000,1544.500000,1588.000000,1588.000000,544738
2001-04-02,1601.000000,1625.000000,1361.000000,1467.000000,1467.000000,656047
2001-04-09,1471.500000,1731.500000,1439.000000,1730.000000,1730.000000,622480
2001-04-16,1731.000000,1997.000000,1586.000000,1953.500000,1953.500000,797523
2001-04-23,1956.000000,1960.000000,1754.000000,1823.000000,1823.000000,706840
2001-04-30,1825.500000,1992.500000,1823.500000,1940.500000,1940.500000,710157
2001-05-07,1941.500000,1958.500000,1816.500000,1834.500000,1834.500000,644875
2001-05-14,1842.500000,1965.000000,1764.000000,1934.000000,1934.000000,631552
2001-05-21,1933.500000,2080.500000,1920.500000,1968.500000,1968.500000,581774
2001-05-28,1970.000000,1984.000000,1771.500000,1851.500000,1851.500000,483961
2001-06-04,1845.000000,1999.000000,1820.000000,1902.500000,1902.500000,407587
2001-06-11,1900.000000,1919.000000,1662.500000,1678.010010,1678.010010,164081
2001-06-18,1728.500000,1793.000000,1660.000000,1753.000000,1753.000000,778407
2001-06-25,1749.500000,1883.500000,1704.000000,1855.000000,1855.000000,651460
2001-07-02,1848.000000,1882.000000,1678.500000,1683.500000,1683.500000,292753
2001-07-09,1683.000000,1797.000000,1612.500000,1765.500000,1765.500000,661634
2001-07-16,1767.000000,1773.500000,1655.000000,1686.500000,1686.500000,681304
2001-07-23,1687.500000,1718.000000,1588.500000,1693.000000,1693.000000,621270
2001-07-30,1697.000000,1779.500000,1671.500000,1741.500000,1741.500000,527664
2001-08-06,1740.000000,1744.000000,1582.500000,1624.000000,1624.000000,561126
2001-08-13,1626.000000,1680.000000,1519.000000,1521.000000,1521.000000,562291
2001-08-20,1518.000000,1585.000000,1471.000000,1580.500000,1580.500000,556141
2001-08-27,1585.000000,1606.000000,1437.000000,1472.500000,1472.500000,579071
2001-09-03,1474.000000,1523.000000,1338.500000,1353.500000,1353.500000,746501
2001-09-10,1353.000000,1394.500000,1317.000000,1336.000000,1336.000000,169485
2001-09-17,1280.500000,1311.000000,1104.000000,1092.520020,1092.520020,336787
2001-09-24,1144.000000,1229.500000,1107.500000,1175.000000,1175.000000,633720
2001-10-01,1171.000000,1321.000000,1136.000000,1280.500000,1280.500000,832554
2001-10-08,1264.500000,1426.000000,1240.000000,1389.500000,1389.500000,813908
2001-10-15,1375.000000,1464.000000,1305.500000,1353.500000,1353.500000,859840
2001-10-22,1353.500000,1493.000000,1338.500000,1451.500000,1451.500000,914760
2001-10-29,1457.000000,1457.000000,1323.000000,1432.500000,1432.500000,870967
2001-11-05,1430.500000,1586.000000,1430.000000,1517.500000,1517.500000,796990
2001-11-12,1521.000000,1623.000000,1457.500000,1585.000000,1585.000000,824979
2001-11-19,1587.500000,1634.500000,1527.500000,1578.000000,1578.000000,368091
2001-11-26,1579.000000,1648.000000,1550.000000,1598.000000,1598.000000,945850
2001-12-03,1590.000000,1738.000000,1562.500000,1677.000000,1677.000000,824190
2001-12-10,1681.000000,1697.500000,1569.000000,1612.500000,1612.500000,546098
