Date,Open,High,Low,Close,Adj Close,Volume
2006-06-01,55.799999,55.799999,48.599998,53.599998,53.599998,10200
2006-07-01,53.799999,63.000000,52.000000,54.599998,54.599998,14500
2006-08-01,55.599998,55.599998,41.599998,48.400002,48.400002,11600
2006-09-01,48.400002,49.799999,42.200001,49.599998,49.599998,13100
2006-10-01,48.200001,56.000000,46.400002,49.200001,49.200001,14400
2006-11-01,51.000000,51.599998,48.400002,51.200001,51.200001,12200
2006-12-01,51.799999,53.400002,48.599998,51.200001,51.200001,4400
2007-01-01,50.200001,57.599998,50.000000,52.200001,52.200001,11200
2007-02-01,53.400002,53.400002,49.000000,51.200001,51.200001,3700
2007-03-01,51.400002,52.599998,50.000000,51.200001,51.200001,5700
2007-04-01,50.400002,59.000000,50.400002,55.799999,55.799999,8400
2007-05-01,54.599998,57.799999,50.200001,55.000000,55.000000,9800
2007-06-01,55.000000,56.000000,50.200001,55.799999,55.799999,26700
2007-07-01,54.599998,55.799999,48.000000,50.200001,50.200001,12900
2007-08-01,48.400002,54.000000,47.000000,50.799999,50.799999,3600
2007-09-01,51.799999,53.200001,45.799999,46.799999,46.799999,2000
2007-10-01,48.000000,49.799999,45.000000,49.799999,49.799999,2800
2007-11-01,50.000000,50.200001,40.000000,44.599998,44.599998,3700
2007-12-01,44.599998,47.799999,36.400002,38.000000,38.000000,4100
2008-01-01,37.200001,41.000000,33.000000,37.599998,37.599998,2300
2008-02-01,34.400002,38.400002,32.599998,37.599998,37.599998,400
2008-03-01,38.000000,38.400002,29.600000,33.799999,33.799999,2000
2008-04-01,33.799999,33.799999,27.799999,31.000000,31.000000,3000
2008-05-01,31.000000,35.000000,26.600000,32.599998,32.599998,1700
2008-06-01,31.600000,32.400002,27.200001,28.000000,28.000000,1300
2008-07-01,27.000000,27.600000,22.000000,24.600000,24.600000,1700
2008-08-01,24.600000,24.600000,20.200001,23.000000,23.000000,500
2008-09-01,22.799999,23.200001,12.400000,15.400000,15.400000,1300
2008-10-01,15.600000,16.000000,8.400000,15.200000,15.200000,2500
2008-11-01,12.800000,15.200000,8.000000,11.000000,11.000000,3500
2008-12-01,8.200000,10.400000,3.600000,4.600000,4.600000,26700
2009-01-01,4.000000,10.800000,3.600000,9.800000,9.800000,19100
2009-02-01,8.800000,13.200000,8.800000,12.800000,12.800000,12900
2009-03-01,12.800000,12.800000,5.000000,9.000000,9.000000,1300
2009-04-01,7.000000,13.200000,6.600000,11.600000,11.600000,14000
2009-05-01,11.600000,13.400000,8.000000,8.800000,8.800000,85200
2009-06-01,8.800000,9.200000,7.000000,8.200000,8.200000,8400
2009-07-01,7.600000,9.800000,6.600000,7.600000,7.600000,43400
2009-08-01,7.000000,12.000000,6.800000,8.400000,8.400000,42500
2009-09-01,8.400000,9.600000,7.200000,8.000000,8.000000,14900
2009-10-01,8.000000,10.400000,7.000000,7.800000,7.800000,49500
2009-11-01,7.400000,7.800000,5.800000,6.400000,6.400000,16900
2009-12-01,6.200000,7.800000,4.200000,5.600000,5.600000,78400
2010-01-01,5.800000,6.800000,4.360000,5.000000,5.000000,83300
2010-02-01,5.000000,7.000000,4.520000,5.640000,5.640000,83600
2010-03-01,5.760000,5.960000,5.040000,5.520000,5.520000,21500
2010-04-01,5.520000,6.680000,5.040000,5.320000,5.320000,27900
2010-05-01,5.320000,5.360000,4.520000,4.920000,4.920000,28100
2010-06-01,4.840000,4.920000,3.320000,3.880000,3.880000,48100
2010-07-01,3.320000,4.320000,2.080000,4.080000,4.080000,47800
2010-08-01,3.480000,6.760000,3.480000,5.880000,5.880000,110800
2010-09-01,5.840000,13.520000,5.640000,11.560000,11.560000,213600
2010-10-01,11.920000,12.600000,6.760000,8.080000,8.080000,259100
2010-11-01,9.120000,9.160000,5.640000,5.880000,5.880000,114100
2010-12-01,5.800000,7.320000,5.080000,6.600000,6.600000,33400
2011-01-01,6.560000,7.160000,5.600000,6.400000,6.400000,25400
2011-02-01,6.360000,7.960000,5.440000,6.520000,6.520000,58200
2011-03-01,6.520000,10.720000,6.280000,10.720000,10.720000,102800
2011-04-01,10.920000,14.680000,10.440000,13.040000,13.040000,137700
2011-05-01,13.240000,13.240000,10.440000,11.800000,11.800000,45900
2011-06-01,11.760000,11.960000,7.240000,9.760000,9.760000,70500
2011-07-01,9.920000,11.600000,8.880000,9.960000,9.960000,29300
2011-08-01,10.040000,10.120000,6.040000,6.400000,6.400000,48100
2011-09-01,6.600000,6.600000,4.440000,4.440000,4.440000,13000
2011-10-01,4.440000,5.080000,4.320000,5.080000,5.080000,4100
2011-11-01,4.440000,4.600000,3.560000,4.040000,4.040000,4300
2011-12-01,3.240000,4.200000,2.320000,4.000000,4.000000,40500
2012-01-01,3.960000,3.960000,2.840000,3.440000,3.440000,12700
2012-02-01,3.440000,3.840000,2.840000,3.560000,3.560000,10900
2012-03-01,3.560000,4.840000,3.400000,4.000000,4.000000,33300
